"Test Article Name","Study Conclusion","Trial Result","Microsomal Activation Used",Protocol,"Study View",CASRN,"NTP Study ID"
"11-Aminoundecanoic acid",Negative,"Negative and Non-Toxic","Induced S9","350805.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/350805.sift)","002-01142-0010-0000-1 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01142-0010-0000-1)"," 2432-99-7",350805
"11-Aminoundecanoic acid",Negative,Inconclusive,Nonactivation,"350805.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/350805.sift)","002-01142-0010-0000-1 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01142-0010-0000-1)"," 2432-99-7",350805
"11-Aminoundecanoic acid",Negative,"Negative and Non-Toxic",Nonactivation,"350805.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/350805.sift)","002-01142-0010-0000-1 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01142-0010-0000-1)"," 2432-99-7",350805
"11-Aminoundecanoic acid",Negative,Positive,Nonactivation,"350805.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/350805.sift)","002-01142-0010-0000-1 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01142-0010-0000-1)"," 2432-99-7",350805
"2,3,5,6-Tetrachloro-4-nitroanisole",Positive,Negative,Nonactivation,"665415.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/665415.sift)","002-01174-0008-0000-3 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01174-0008-0000-3)"," 2438-88-2",665415
"2,3,5,6-Tetrachloro-4-nitroanisole",Positive,Positive,Nonactivation,"665415.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/665415.sift)","002-01174-0008-0000-3 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01174-0008-0000-3)"," 2438-88-2",665415
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",Negative,"Negative and Non-Toxic","Induced S9","056688.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/056688.sift)","002-01179-0020-0000-2 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01179-0020-0000-2)"," 1746-01-6",056688
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",Negative,"Negative and Non-Toxic",Nonactivation,"056688.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/056688.sift)","002-01179-0020-0000-2 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01179-0020-0000-2)"," 1746-01-6",056688
"2,3-Dibromo-1-propanol",Positive,Positive,Nonactivation,"512622.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/512622.sift)","002-01182-0011-0000-6 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01182-0011-0000-6)"," 96-13-9",512622
"2,4,5-Trimethoxybenzaldehyde",Positive,Inconclusive,Nonactivation,"041214.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/041214.sift)","002-01204-0005-0000-4 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01204-0005-0000-4)"," 4460-86-0",041214
"2,4,5-Trimethoxybenzaldehyde",Positive,Positive,Nonactivation,"041214.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/041214.sift)","002-01204-0005-0000-4 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01204-0005-0000-4)"," 4460-86-0",041214
"2,4,6-Trichlorophenol",Positive,Positive,Nonactivation,"736391.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/736391.sift)","002-01209-0009-0000-3 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01209-0009-0000-3)"," 88-06-2",736391
"2,4-Diaminoanisole sulfate",Positive,Positive,"Induced S9","G45600.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/G45600.sift)","002-01215-0008-0000-9 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01215-0008-0000-9)"," 39156-41-7",G45600
"2,4-Diaminoanisole sulfate",Positive,Positive,Nonactivation,"G45600.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/G45600.sift)","002-01215-0008-0000-9 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01215-0008-0000-9)"," 39156-41-7",G45600
"2,4-Diaminoanisole sulfate",Positive,Positive,"Induced S9","G63131.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/G63131.sift)","002-01215-0009-0000-0 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01215-0009-0000-0)"," 39156-41-7",G63131
"2,4-Diaminoanisole sulfate",Positive,Positive,Nonactivation,"G63131.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/G63131.sift)","002-01215-0009-0000-0 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01215-0009-0000-0)"," 39156-41-7",G63131
"2,4-Diaminophenol dihydrochloride",Positive,Inconclusive,Nonactivation,"299952.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/299952.sift)","002-01216-0009-0000-1 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01216-0009-0000-1)"," 137-09-7",299952
"2,4-Diaminophenol dihydrochloride",Positive,Positive,Nonactivation,"299952.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/299952.sift)","002-01216-0009-0000-1 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01216-0009-0000-1)"," 137-09-7",299952
"2,4-Dichlorophenol",Positive,Positive,Nonactivation,"636821.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/636821.sift)","002-01222-0008-0000-7 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01222-0008-0000-7)"," 120-83-2",636821
"2,4-Dimethoxyaniline hydrochloride",Positive,Equivocal,Nonactivation,"832423.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/832423.sift)","002-01226-0007-0000-0 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01226-0007-0000-0)"," 54150-69-5",832423
"2,4-Dimethoxyaniline hydrochloride",Positive,Positive,Nonactivation,"832423.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/832423.sift)","002-01226-0007-0000-0 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01226-0007-0000-0)"," 54150-69-5",832423
"2,4-Dinitroaniline",Negative,"Negative and Non-Toxic","Induced S9","044132.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/044132.sift)","002-01228-0005-0000-0 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01228-0005-0000-0)"," 97-02-9",044132
"2,4-Dinitroaniline",Negative,"Negative and Non-Toxic",Nonactivation,"044132.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/044132.sift)","002-01228-0005-0000-0 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01228-0005-0000-0)"," 97-02-9",044132
"2,4-Dinitrotoluene",Positive,Negative,"Induced S9","693724.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/693724.sift)","002-01230-0011-0000-0 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01230-0011-0000-0)"," 121-14-2",693724
"2,4-Dinitrotoluene",Positive,Positive,"Induced S9","693724.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/693724.sift)","002-01230-0011-0000-0 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01230-0011-0000-0)"," 121-14-2",693724
"2,4-Dinitrotoluene",Positive,"Negative and Non-Toxic",Nonactivation,"693724.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/693724.sift)","002-01230-0011-0000-0 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01230-0011-0000-0)"," 121-14-2",693724
"2,4-Dinitrotoluene",Positive,Positive,Nonactivation,"693724.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/693724.sift)","002-01230-0011-0000-0 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01230-0011-0000-0)"," 121-14-2",693724
"2,4-Toluene diisocyanate",Positive,Positive,"Induced S9","445615.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/445615.sift)","002-01232-0004-0000-4 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01232-0004-0000-4)"," 584-84-9",445615
"2,4-Toluene diisocyanate",Positive,Inconclusive,Nonactivation,"445615.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/445615.sift)","002-01232-0004-0000-4 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01232-0004-0000-4)"," 584-84-9",445615
"2,4-Toluene diisocyanate",Positive,Positive,Nonactivation,"445615.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/445615.sift)","002-01232-0004-0000-4 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01232-0004-0000-4)"," 584-84-9",445615
"2,5-Toluenediamine sulfate",Positive,Inconclusive,Nonactivation,"821795.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/821795.sift)","002-01244-0008-0000-1 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01244-0008-0000-1)"," 6369-59-1",821795
"2,5-Toluenediamine sulfate",Positive,Positive,Nonactivation,"821795.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/821795.sift)","002-01244-0008-0000-1 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01244-0008-0000-1)"," 6369-59-1",821795
"2,6-Dichloro-p-phenylenediamine",Positive,Positive,Nonactivation,"789062.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/789062.sift)","002-01246-0011-0000-7 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01246-0011-0000-7)"," 609-20-1",789062
"2,6-Diisocyanatotoluene",Positive,Positive,"Induced S9","429581.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/429581.sift)","002-01250-0004-0000-4 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01250-0004-0000-4)"," 91-08-7",429581
"2,6-Diisocyanatotoluene",Positive,Positive,Nonactivation,"429581.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/429581.sift)","002-01250-0004-0000-4 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01250-0004-0000-4)"," 91-08-7",429581
"2,6-Toluenediamine dihydrochloride",Positive,Positive,Nonactivation,"612221.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/612221.sift)","002-01254-0015-0000-0 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01254-0015-0000-0)"," 15481-70-6",612221
"1,1,1,2-Tetrachloroethane",Negative,Negative,"Induced S9","472008.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/472008.sift)","002-01013-0007-0000-4 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01013-0007-0000-4)"," 630-20-6",472008
"1,1,1,2-Tetrachloroethane",Negative,Negative,Nonactivation,"472008.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/472008.sift)","002-01013-0007-0000-4 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01013-0007-0000-4)"," 630-20-6",472008
"1,1,1,2-Tetrachloroethane",Positive,Positive,"Induced S9","503956.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/503956.sift)","002-01013-0008-0000-5 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01013-0008-0000-5)"," 630-20-6",503956
"1,1,1,2-Tetrachloroethane",Positive,Negative,Nonactivation,"503956.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/503956.sift)","002-01013-0008-0000-5 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01013-0008-0000-5)"," 630-20-6",503956
"1,1,1,2-Tetrachloroethane",Positive,Positive,Nonactivation,"503956.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/503956.sift)","002-01013-0008-0000-5 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01013-0008-0000-5)"," 630-20-6",503956
"1,1,1,2-Tetrachloroethane",Positive,Rejected,Nonactivation,"503956.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/503956.sift)","002-01013-0008-0000-5 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01013-0008-0000-5)"," 630-20-6",503956
"1,1,1-Trichloroethane",Negative,Negative,"Induced S9","247192.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/247192.sift)","002-01015-0020-0000-1 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01015-0020-0000-1)"," 71-55-6",247192
"1,1,1-Trichloroethane",Negative,Positive,"Induced S9","247192.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/247192.sift)","002-01015-0020-0000-1 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01015-0020-0000-1)"," 71-55-6",247192
"1,1,1-Trichloroethane",Negative,Rejected,"Induced S9","247192.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/247192.sift)","002-01015-0020-0000-1 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01015-0020-0000-1)"," 71-55-6",247192
"1,1,1-Trichloroethane",Negative,Negative,Nonactivation,"247192.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/247192.sift)","002-01015-0020-0000-1 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01015-0020-0000-1)"," 71-55-6",247192
"1,1,1-Trichloroethane",Equivocal,"Negative and Non-Toxic","Induced S9","920365.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/920365.sift)","002-01015-0021-0000-2 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01015-0021-0000-2)"," 71-55-6",920365
"1,1,1-Trichloroethane",Equivocal,Positive,"Induced S9","920365.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/920365.sift)","002-01015-0021-0000-2 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01015-0021-0000-2)"," 71-55-6",920365
"1,1,1-Trichloroethane",Equivocal,,"Induced S9","920365.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/920365.sift)","002-01015-0021-0000-2 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01015-0021-0000-2)"," 71-55-6",920365
"1,1,1-Trichloroethane",Equivocal,Rejected,"Non-Induced S9","920365.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/920365.sift)","002-01015-0021-0000-2 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01015-0021-0000-2)"," 71-55-6",920365
"1,1,1-Trichloroethane",Equivocal,Inconclusive,Nonactivation,"920365.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/920365.sift)","002-01015-0021-0000-2 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01015-0021-0000-2)"," 71-55-6",920365
"1,1,1-Trichloroethane",Equivocal,Negative,Nonactivation,"920365.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/920365.sift)","002-01015-0021-0000-2 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01015-0021-0000-2)"," 71-55-6",920365
"1,1,1-Trichloroethane",Equivocal,"Negative and Non-Toxic",Nonactivation,"920365.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/920365.sift)","002-01015-0021-0000-2 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01015-0021-0000-2)"," 71-55-6",920365
"1,1,1-Trichloroethane",Equivocal,"No Call",Nonactivation,"920365.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/920365.sift)","002-01015-0021-0000-2 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01015-0021-0000-2)"," 71-55-6",920365
"1,1,2,2-Tetrachloroethane",Negative,Inconclusive,"Induced S9","990809.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/990809.sift)","002-01017-0016-0000-8 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01017-0016-0000-8)"," 79-34-5",990809
"1,1,2,2-Tetrachloroethane",Negative,Negative,"Induced S9","990809.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/990809.sift)","002-01017-0016-0000-8 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01017-0016-0000-8)"," 79-34-5",990809
"1,1,2,2-Tetrachloroethane",Negative,Negative,Nonactivation,"990809.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/990809.sift)","002-01017-0016-0000-8 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01017-0016-0000-8)"," 79-34-5",990809
"1,2,3,4-Diepoxybutane DL",Positive,Positive,Nonactivation,"449785.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/449785.sift)","002-01028-0001-0000-4 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01028-0001-0000-4)"," 298-18-0",449785
"1,2,3,4-Diepoxybutane DL",Positive,,Nonactivation,"449785.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/449785.sift)","002-01028-0001-0000-4 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01028-0001-0000-4)"," 298-18-0",449785
"1,2,3,4-Diepoxybutane DL",Positive,Positive,"Induced S9","G05603.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/G05603.sift)","002-01028-0002-0000-5 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01028-0002-0000-5)"," 298-18-0",G05603
